keyword,currency,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,organic_impression_share,organic_avg_position,in_account,in_plan,searches_2025_07,searches_2025_08,searches_2025_09,searches_2025_10,searches_2025_11,searches_2025_12,searches_2026_01,searches_2026_02,searches_2026_03,searches_2026_04,searches_2026_05,searches_2026_06,priority_bucket
outdoor inflatable bouncers,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,0,10,0,0,10,10,10,other
outdoor water bouncy castle,USD,10,0%,0%,High,100,0.59,1.98,,,,,,0,10,0,0,0,0,0,0,10,10,10,10,other
oxford bounce house,USD,50,67%,150%,High,90,0.24,2.04,,,,,,20,20,90,50,70,50,40,30,50,30,30,50,other
party and jump inflatables,USD,90,89%,143%,Low,16,0.81,4.36,,,,,,140,140,110,90,70,70,30,20,70,90,110,170,other
party blow up water slide,USD,10,0%,0%,High,100,,,,,,,,10,10,0,0,0,0,10,0,10,10,10,10,other
party house inflatables,USD,590,0%,-19%,High,99,0.18,1.69,,,,,,480,480,720,720,480,590,590,390,590,480,590,480,other
party inflatable bouncers,USD,10,0%,0%,Low,25,,,,,,,,10,10,10,20,10,10,10,0,10,10,10,10,other
party jump inflatables,USD,20,0%,0%,Medium,44,0.68,1.71,,,,,,20,10,20,10,20,10,10,10,20,20,20,20,other
party jumper sizes,USD,20,-50%,0%,High,97,0.57,2.14,,,,,,20,20,20,10,10,10,10,20,20,20,20,10,other
party water slides for sale,USD,10,100%,100%,High,100,0.20,1.21,,,,,,20,10,10,0,0,0,0,10,10,10,10,20,secondary
paw patrol inflatable bounce house,USD,40,-25%,-25%,High,83,0.36,1.77,,,,,,50,40,70,40,40,40,30,50,50,40,40,30,other
pirate ship bounce house for sale,USD,10,0%,0%,High,100,,,,,,,,30,10,20,30,10,10,10,10,10,10,10,10,secondary
pirate ship combo bounce house,USD,10,0%,0%,High,80,,,,,,,,20,10,20,10,10,10,10,10,10,10,20,10,other
places to rent inflatables,USD,10,0%,0%,Low,27,1.21,3.11,,,,,,10,10,10,10,10,0,10,10,10,10,10,10,deprioritize_rental
plain bounce house,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,20,10,other
plain white bounce house,USD,10,0%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
play inflatables,USD,20,0%,0%,High,87,,,,,,,,20,20,10,20,20,10,20,20,20,10,20,10,other
playground bounce house rentals,USD,40,0%,25%,Low,3,,,,,,,,50,50,40,40,40,30,40,30,40,50,50,50,deprioritize_rental
playhouse bounce house,USD,140,-64%,0%,High,99,0.26,2.26,,,,,,90,110,90,90,90,70,70,70,90,390,170,140,other
pogo commercial inflatable water slide,USD,10,-100%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,10,0,0,primary
